,nome,genero,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
50,FELIX DE ALMEIDA MENDONÇA JÚNIOR,M,86,6,0,30,8,16,29/11/1963,"324.962,29","30.256,20","36.235,51","35.264,16","42.584,56","50.388,49","23.719,29","43.121,12","20.178,34","14.497,37","26.697,48","2.019,77",,"1.093.456,69","111.574,69","111.574,69","111.574,69","111.574,69","111.574,69","99.983,33","107.556,02","108.772,32","109.170,84","110.100,73",,,"33.763,00"
51,LUIZ BENES LEOCADIO DE ARAUJO,M,88,3,1,35,2,6,22/04/1966,"352.784,66","32.697,33","37.181,80","51.640,86","47.232,83","43.851,34","39.594,20","33.482,93","21.709,18","17.997,68","27.006,51","390,00",,"1.070.001,74","110.203,77","110.203,77","106.658,99","104.203,11","106.527,95","105.841,47","105.921,33","105.964,18","107.249,74","107.227,43",,,"33.763,00"
52,JOSÉ ROBERTO OLIVEIRA FARO,M,82,0,10,5,0,17,20/06/1969,"348.358,45","50.640,64","51.528,80","53.130,42","38.245,47","56.264,93","15.343,49","16.815,59","14.152,72","12.879,36","11.197,03","28.160,00",,"1.107.132,60","111.210,84","110.666,21","109.899,05","111.210,84","111.210,84","110.568,67","110.434,02","111.210,84","111.210,84","109.510,45",,,"33.763,00"
53,HUMBERTO REZENDE PEREIRA,M,87,2,3,29,3,42,14/11/1977,"317.620,57","31.302,38","37.733,45","46.071,17","46.424,41","43.050,57","37.786,28","29.839,31","16.128,37","5.877,55","23.407,08","0,00",,"1.114.088,41","111.514,04","111.586,80","110.868,87","111.514,00","111.457,65","111.586,78","110.672,43","111.629,28","111.629,28","111.629,28",,,"33.763,00"
54,CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,M,77,13,2,18,9,7,01/02/1982,"417.583,23","38.508,13","49.871,28","49.026,92","51.520,30","44.584,40","32.245,60","35.040,79","36.239,48","26.275,26","54.271,07","0,00",,"1.114.457,24","111.436,53","111.580,74","111.495,03","111.145,61","111.498,95","111.507,99","111.507,99","111.485,68","111.392,71","111.406,01",,,"33.763,00"
55,ALCIBIO MESQUITA BIBO NUNES,M,90,2,0,33,2,21,09/01/1957,"442.619,00","36.377,50","114.136,35","111.815,04","46.216,96","43.243,88","31.393,94","31.363,41","21.004,27","5.421,62","1.646,03","0,00",,"978.080,61","107.838,27","106.661,35","107.626,01","107.100,08","108.678,71","110.863,76","102.938,79","80.792,43","71.989,13","73.592,08",,,"33.763,00"
56,OLAVO BILAC PINTO NETO,M,80,5,7,54,3,7,08/06/1963,"366.957,28","38.107,55","39.391,23","36.766,95","36.370,18","36.320,33","35.989,93","35.978,06","36.058,35","36.004,29","35.970,41","0,00",,"1.114.014,41","111.532,26","111.532,26","111.532,26","111.532,26","111.532,26","110.224,07","111.532,26","111.532,26","111.532,26","111.532,26",,,"33.763,00"
57,UBIRAJARA DO PINDARÉ ALMEIDA SOUSA,M,82,10,0,21,10,26,01/11/1968,"395.081,21","20.679,85","23.825,08","34.402,73","76.284,21","96.746,00","27.251,80","28.044,88","18.372,93","31.746,67","37.651,58","75,48",,"1.115.746,50","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65",,,"33.763,00"
58,ELVINO JOSÉ BOHN GASS,M,90,2,0,24,0,15,05/02/1962,"362.192,59","30.693,35","43.896,78","51.772,61","63.215,02","45.029,72","40.093,42","35.113,72","22.679,14","13.260,28","15.328,65","1.109,90",,"1.113.456,25","111.641,36","111.557,99","111.508,13","111.641,38","111.641,38","110.811,40","111.604,98","111.604,98","111.604,98","109.839,67",,,"33.763,00"
59,NICOLINO BOZZELLA JUNIOR,M,83,8,1,42,5,9,17/08/1980,"331.580,49","31.567,57","39.636,09","43.735,10","36.718,08","40.304,87","30.143,90","40.029,84","26.482,22","25.062,37","16.682,72","1.217,73",,"1.108.661,55","111.623,09","111.642,57","107.512,59","110.707,93","111.134,28","111.357,59","110.509,90","111.392,57","111.392,57","111.388,46",,,"33.763,00"
